research_id,hypothesis,evidence,sample_size,result,status,superseded_by,next_action
aegis_mr_experiment_20260827_e1_india_r1_filter,"R1 top-3 with ma20_dist outside +1..+5 (n=82, 14.5% WR) AND R1 confidence 70-85 anti-signal (n=103, 13.16% WR) are the two weakest R1 cohorts. Filtering them should raise R1 5D WR toward R2 baseline 32.16%.",reports/research/experiments/aegis_mr_experiment_20260827_e1_india_r1_filter/,"historical_n=100, forward_n=2, target_n=100",PENDING (accumulating),PROMISING_NEED_MORE_DATA,—,ACCUMULATE_FORWARD_EVIDENCE (2/100)
aegis_mr_experiment_20260827_e2_india_r2_rank_4_7_boost,"Conditional 3-way `R2 · rank_4_7 · rsi=STRONG` shows 5D WR 72.73% (n=22, +46.96pp edge, sig+). Boost-tag matching R2 predictions forward · N>=100 promotion decision.",reports/research/experiments/aegis_mr_experiment_20260827_e2_india_r2_rank_4_7_boost/,"historical_n=100, forward_n=2, target_n=100",PENDING (accumulating),PROMISING_NEED_MORE_DATA,—,ACCUMULATE_FORWARD_EVIDENCE (2/100)
aegis_mr_experiment_20260827_e3_stop_loss_cross_market,INDIA · TIME_STOP_5D expectancy +0.273% + 0.00% catastrophic on n=500. USA · TRAILING_10 expectancy +0.921% PF 1.309 on n=625. Advisory-only shadow confirms both prospectively.,reports/research/experiments/aegis_mr_experiment_20260827_e3_stop_loss_cross_market/,"historical_n=100, forward_n=2, target_n=100",PENDING (accumulating),PROMISING_NEED_MORE_DATA,—,ACCUMULATE_FORWARD_EVIDENCE (2/100)
aegis_mr_experiment_20260827_india_band_boundary,India investability_band ordering QUALITY > MARGINAL > AVOID > OK instead of expected QUALITY > OK > MARGINAL > AVOID. OK band (n=119) has 17.4% 5D WR · below AVOID (n=108) 19.2% · suggesting OK's internal calibration is,reports/research/experiments/aegis_mr_experiment_20260827_india_band_boundary/,"historical_n=100, forward_n=1, target_n=100",ARCHIVED,SUPERSEDED_KEEP_HISTORY,—,REVISIT_WHEN_CEO_UNARCHIVES
aegis_mr_experiment_20260827_india_confidence_anti_signal,"In India, higher confidence_pct at prediction time predicts LOWER 5D forward win rate. Bucket audit shows WR spread of 23.88pp with monotonicity MIXED_DOWN.",reports/research/experiments/aegis_mr_experiment_20260827_india_confidence_anti_signal/,"historical_n=100, forward_n=1, target_n=100",RETIRED (→ aegis_mr_experiment_20260827_x1_india_r1_r2_ranking),SUPERSEDED_KEEP_HISTORY,aegis_mr_experiment_20260827_x1_india_r1_r2_ranking,REFER_TO_SUCCESSOR (see superseded_by)
aegis_mr_experiment_20260827_india_negative_alpha,"Over 18 days, NSE universe (n=2747) 5D WR=32.25% avg=-0.388%. AEGIS-India (n=392) 5D WR=25.77% avg=-0.729%. Alpha = WR-6.48pp · avg-0.341%. AEGIS-India currently DESTROYS value relative to random pick.",reports/research/experiments/aegis_mr_experiment_20260827_india_negative_alpha/,"historical_n=100, forward_n=1, target_n=100",RETIRED (→ aegis_mr_experiment_20260827_x1_india_r1_r2_ranking),SUPERSEDED_KEEP_HISTORY,aegis_mr_experiment_20260827_x1_india_r1_r2_ranking,REFER_TO_SUCCESSOR (see superseded_by)
aegis_mr_experiment_20260827_india_stop_policy,"Under 30-day historical replay, TIME_STOP_5D exit produces avg expectancy of -0.613% vs CURRENT -0.886%. TIME_STOP_5D also eliminates all catastrophic >10% losses (0.00% vs 0.20%).",reports/research/experiments/aegis_mr_experiment_20260827_india_stop_policy/,"historical_n=100, forward_n=1, target_n=100",RETIRED (→ aegis_mr_experiment_20260827_x2_stop_loss_time_5d),SUPERSEDED_KEEP_HISTORY,aegis_mr_experiment_20260827_x2_stop_loss_time_5d,REFER_TO_SUCCESSOR (see superseded_by)
aegis_mr_experiment_20260827_india_top3_rank_inversion,"India R1 places QUALITY(57%) + OK(40%) high-confidence stocks in top-3 slots · these have 14.5% 5D WR. Meanwhile R2 rank_4_7 (n=56, 47% WR, +0.53% avg) is the only positive cohort. The ranker's top-3 selection is anti-co",reports/research/experiments/aegis_mr_experiment_20260827_india_top3_rank_inversion/,"historical_n=100, forward_n=1, target_n=100",RETIRED (→ aegis_mr_experiment_20260827_x1_india_r1_r2_ranking),SUPERSEDED_KEEP_HISTORY,aegis_mr_experiment_20260827_x1_india_r1_r2_ranking,REFER_TO_SUCCESSOR (see superseded_by)
aegis_mr_experiment_20260827_x1_india_r1_r2_ranking,"Two mechanisms compound to produce India's negative alpha vs universe: (a) R1 top-3 slot is anti-correlated with outcome when ma20_dist is outside +1..+5, and (b) confidence 70-85 band is an anti-signal. Applying both fi",reports/research/experiments/aegis_mr_experiment_20260827_x1_india_r1_r2_ranking/,"historical_n=100, forward_n=2, target_n=100",RETIRED (→ aegis_mr_experiment_20260827_e1_india_r1_filter),SUPERSEDED_KEEP_HISTORY,aegis_mr_experiment_20260827_e1_india_r1_filter,REFER_TO_SUCCESSOR (see superseded_by)
aegis_mr_experiment_20260827_x2_stop_loss_time_5d,Historical sweep shows TIME_STOP_5D expectancy -0.613% vs CURRENT -0.886% (gap +0.273%) AND catastrophic-loss rate 0.00% vs 0.20%. Advisory-only shadow should confirm this gap prospectively before any stop policy change.,reports/research/experiments/aegis_mr_experiment_20260827_x2_stop_loss_time_5d/,"historical_n=100, forward_n=2, target_n=100",RETIRED (→ aegis_mr_experiment_20260827_e3_stop_loss_cross_market),SUPERSEDED_KEEP_HISTORY,aegis_mr_experiment_20260827_e3_stop_loss_cross_market,REFER_TO_SUCCESSOR (see superseded_by)
