market,program,cycle,factor_or_experiment,scope,IC,IC_IR,lift,n,status,date,confidence,notes
USA,A-Fundamentals,RC001.1,f_rev_growth_yoy,cross-section 63d (2y),0.108,1.53,pos,7,superseded,2026-06-29,54 (Medium),best lead on 2y; [SUPERSEDED by 14y: flat IC +0.001 -> was small-sample noise]
USA,A-Fundamentals,RC001.1,f_roe,cross-section 63d (2y),-0.134,-3.79,neg,7,reject-as-positive,2026-06-29,83 (High),INVERSE on 2y; [CONFIRMED 2024-26 artifact: flat IC +0.007 on 14y]
USA,A-Fundamentals,RC001.1,f_net_margin,cross-section 63d,-0.083,-1.11,neg,7,weak,2026-06-29,46 (Low),weak negative
USA,A-Fundamentals,RC001.1,f_debt_to_equity,cross-section 63d,0.032,0.41,flat,7,neutral,2026-06-29,32 (Low),low-debt weakly positive but n.s.
USA,A-Fundamentals,RC001.0,composite_equal_weight,cross-section 63d,0.028,0.69,neg,7,not-promoted,2026-06-29,37 (Low),failed by CANCELLATION (growth+ vs ROE-) not because fundamentals useless
USA,A-Fundamentals,RC001.2,lgbm_learned_blend_purged,walk-forward 63d (2y),0.083,1.89,pos,15,superseded,2026-06-29,60 (Medium),2y purged 0.083; [SUPERSEDED by 14y: +0.006 -> no learned edge]
USA,A-Fundamentals,RC001.8,growth_x_low_debt,double-sort 63d,,,flat,,no-effect,2026-06-29,60 (Medium),low-debt adds -0.006 on top of high-growth; no interaction
INDIA,IND-PortfolioConstruction,decomp,regime_overlay,portfolio timing,,,pos,,kept,2026-06-25,85 (High),the ENTIRE Sharpe~2.0 edge is defensive regime timing; validated and in production
INDIA,IND-PortfolioConstruction,decomp,hrp_weighting,portfolio,,,flat,,neutral,2026-06-25,80 (High),adds ~nothing over equal-weight (decomposition proof)
INDIA,IND-PortfolioConstruction,decomp,stock_selection,portfolio,,,flat,,neutral,2026-06-25,80 (High),adds ~nothing over equal-weight; selection is not the alpha
INDIA,IND-PortfolioConstruction,decomp,pure_momentum_top5,2021-2026,,,neg,,not-promoted,2026-06-25,80 (High),+23% Sharpe 0.28 LOSES to Nifty buy-and-hold +72% Sharpe 0.79 on every metric
INDIA,IND-UniverseSizing,gate,dynamic_top_n,out-of-sample,,,neg,,not-promoted,2026-06-26,80 (High),dynamic Top-N lost OOS; price optimisation exhausted; frozen-not-rejected
USA,B-Earnings,RC002,earnings_surprise_yoy,PEAD 42d (2y baseline),0.108,0.99,,8,superseded,2026-06-29,46 (Low),"2y baseline IC +0.108 IR 0.99; [SUPERSEDED by 14y: flat +0.021]"
USA,B-Earnings,RC002,earnings_surprise_yoy,PEAD 42d (14y),0.021,0.84,,97,not-promoted,2026-06-29,57 (Medium),"EXPANDED 14y/97mo: non-overlap IC +0.021 IR 0.84 -> NO drift; 2y +0.108 was small-sample; rejects naive-YoY proxy not PEAD universally"
USA,A-Fundamentals,RC001.1,f_roe,cross-section 63d (14y),0.007,0.41,flat,55,not-promoted,2026-06-29,48 (Low),"EXPANDED 14y/55: IC +0.007 -> 2y -0.134 'inverse' was a 2024-26 regime artifact (CONFIRMED); flat"
USA,A-Fundamentals,RC001.1,f_rev_growth_yoy,cross-section 63d (14y),0.001,0.04,flat,55,not-promoted,2026-06-29,41 (Low),"EXPANDED 14y/55: IC +0.001 -> 2y +0.108 'best lead' was small-sample noise; flat"
USA,A-Fundamentals,RC001.2,lgbm_learned_blend_purged,walk-forward 63d (14y),0.006,0.49,flat,159,not-promoted,2026-06-29,50 (Medium),"EXPANDED 14y: purged IC +0.006 (naive 0.118 leakage); no learned edge over equal-weight"
